Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,Ligue,Saison,Home_form,Away_form,Home_avg_scored,Home_avg_conceded,Away_avg_scored,Away_avg_conceded,Form_diff,Avg_scored_diff,Avg_conceded_diff
2020-09-20,Betis,Valladolid,2,0,H,2,0,H,16,9,6,2,5,3,3,0,0,0,LL,20_21,3,1,1.0,0.0,1.0,1.0,2,0.0,-1.0
2020-09-20,Sociedad,Real Madrid,0,0,D,0,0,D,6,16,1,4,1,11,2,2,0,0,LL,20_21,1,0,1.0,1.0,0.0,0.0,1,1.0,1.0
2020-09-21,Aston Villa,Sheffield United,1,0,H,0,0,D,18,4,2,1,10,4,3,1,0,1,PL,22_21,0,0,0.0,0.0,0.0,2.0,0,0.0,-2.0
2020-09-21,Wolves,Man City,1,3,A,0,2,A,10,14,1,9,4,6,0,3,0,0,PL,22_21,3,0,2.0,0.0,0.0,0.0,3,2.0,0.0
2020-09-21,Milan,Bologna,2,0,H,1,0,H,14,6,6,5,7,4,3,5,0,1,SA,20_21,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-09-26,West Brom,Chelsea,3,3,D,3,0,H,9,22,3,10,3,9,1,3,0,0,PL,22_21,0,3,1.0,4.0,1.5,1.5,-3,-0.5,2.5
2020-09-26,Betis,Real Madrid,2,3,A,2,1,H,15,11,5,4,8,3,5,2,1,0,LL,20_21,6,1,1.5,0.0,0.0,0.0,5,1.5,0.0
2020-09-26,Elche,Sociedad,0,3,A,0,0,D,5,27,2,7,2,11,3,1,0,0,LL,20_21,0,2,0.0,0.0,0.5,0.5,-2,-0.5,-0.5
2020-09-26,Valencia,Huesca,1,1,D,1,0,H,5,17,2,4,4,4,0,1,0,0,LL,20_21,3,1,2.5,2.0,0.5,1.5,2,2.0,0.5
2020-09-26,Brighton,Man United,2,3,A,1,1,D,18,7,5,3,7,1,4,2,0,0,PL,22_21,3,0,2.0,1.5,1.0,3.0,3,1.0,-1.5
2020-09-26,Crystal Palace,Everton,1,2,A,1,2,A,8,10,1,5,7,6,3,1,0,0,PL,22_21,6,6,2.0,0.5,3.0,1.0,0,-1.0,-0.5
2020-09-26,Torino,Atalanta,2,4,A,2,3,A,5,12,5,7,2,6,1,2,0,0,SA,20_21,0,0,0.0,1.0,0.0,0.0,0,0.0,1.0
2020-09-26,Cagliari,Lazio,0,2,A,0,1,A,9,9,3,7,3,6,1,1,0,0,SA,20_21,1,0,1.0,1.0,0.0,0.0,1,1.0,1.0
2020-09-26,Alaves,Getafe,0,0,D,0,0,D,9,11,0,4,1,5,2,2,0,0,LL,20_21,0,3,0.5,1.5,1.0,0.0,-3,-0.5,1.5
2020-09-26,Inter,Fiorentina,4,3,H,1,1,D,12,8,6,4,5,1,1,1,0,0,SA,20_21,0,3,0.0,0.0,1.0,0.0,-3,-1.0,0.0
2020-09-26,Burnley,Southampton,0,1,A,0,1,A,10,5,2,1,8,2,1,0,0,0,PL,22_21,0,0,2.0,4.0,1.0,3.0,0,1.0,1.0
2020-09-26,Sampdoria,Benevento,2,3,A,2,1,H,5,11,4,6,6,4,3,1,0,0,SA,20_21,0,0,0.0,3.0,0.0,0.0,0,0.0,3.0
2020-09-27,Osasuna,Levante,1,3,A,1,1,D,9,11,4,5,3,7,2,0,0,0,LL,20_21,3,0,1.0,0.5,2.0,4.0,3,-1.0,-3.5
2020-09-27,Eibar,Ath Bilbao,1,2,A,0,1,A,7,9,1,5,5,4,1,0,0,0,LL,20_21,1,0,0.5,1.0,0.0,2.0,1,0.5,-1.0
2020-09-27,Ath Madrid,Granada,6,1,H,1,0,H,17,11,10,6,1,1,3,1,0,0,LL,20_21,0,6,0.0,0.0,2.0,0.5,-6,-2.0,-0.5
2020-09-27,Cadiz,Sevilla,1,3,A,0,0,D,12,14,5,5,6,5,4,2,0,0,LL,20_21,3,0,1.0,1.0,0.0,0.0,3,1.0,1.0
2020-09-27,Valladolid,Celta,1,1,D,0,1,A,10,5,4,1,4,1,3,4,0,0,LL,20_21,1,4,0.5,1.5,1.0,0.5,-3,-0.5,1.0
2020-09-27,Barcelona,Villarreal,4,0,H,4,0,H,17,5,9,1,8,4,0,1,0,0,LL,20_21,0,4,0.0,0.0,1.5,1.0,-4,-1.5,-1.0
2020-09-27,Man City,Leicester,2,5,A,1,1,D,16,7,5,7,3,4,1,3,0,0,PL,22_21,3,6,3.0,1.0,3.5,1.0,-3,-0.5,0.0
2020-09-27,Tottenham,Newcastle,1,1,D,1,0,H,23,6,12,1,10,4,1,4,0,0,PL,22_21,3,3,2.5,1.5,1.0,1.5,0,1.5,0.0
2020-09-27,Roma,Juventus,2,2,D,2,1,H,7,6,6,3,5,7,2,3,0,1,SA,20_21,1,3,0.0,0.0,3.0,0.0,-2,-3.0,0.0
2020-09-27,Crotone,Milan,0,2,A,0,1,A,5,11,1,7,2,5,1,3,0,0,SA,20_21,0,3,1.0,4.0,2.0,0.0,-3,-1.0,4.0
2020-09-27,Verona,Udinese,1,0,H,0,0,D,8,14,2,6,1,9,1,0,0,0,SA,20_21,1,0,0.0,0.0,0.0,0.0,1,0.0,0.0
2020-09-27,Napoli,Genoa,6,0,H,1,0,H,18,3,11,1,4,2,1,2,0,0,SA,20_21,3,3,2.0,0.0,4.0,1.0,0,-2.0,-1.0
2020-09-27,Spezia,Sassuolo,1,4,A,1,1,D,11,10,6,8,3,5,2,1,0,0,SA,20_21,0,1,0.0,0.0,1.0,1.0,-1,-1.0,-1.0
2020-09-27,West Ham,Wolves,4,0,H,1,0,H,15,11,7,2,1,3,0,1,0,0,PL,22_21,0,3,0.5,2.0,1.5,1.5,-3,-1.0,0.5
